key	text	tooltip
uied_component_texts_localised_string_Idrinth_StateText_39b3dcfe	YER TUTUCU 22	false
uied_component_texts_localised_string_Idrinth_StateText_b7030818	YER TUTUCU 23	false
uied_component_texts_localised_string_Idrinth_StateText_b68b4233	YER TUTUCU 24	false
uied_component_texts_localised_string_Idrinth_StateText_b3139611	YER TUTUCU 25	false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_withstanding	Dayanma Yemini	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_withstanding		false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_withstanding_upgraded	Büyük Dayanma Yemini	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_withstanding_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_finger	Gölge Parmağı	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_finger		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_finger_upgraded	Büyük Gölge Parmağı	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_finger_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_dance	Gölge Dansı	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_dance		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_dance_upgraded	Büyük Gölge Dansı	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_dance_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_eternal_servitude	Sonsuz Kulluk	false
unit_abilities_tooltip_text_idrinth_lore_thalui_eternal_servitude		false
unit_abilities_onscreen_name_idrinth_lore_thalui_eternal_servitude_upgraded	Büyük Sonsuz Kulluk	false
unit_abilities_tooltip_text_idrinth_lore_thalui_eternal_servitude_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_deadly_intend	Ölümcül Niyet	false
unit_abilities_tooltip_text_idrinth_lore_thalui_deadly_intend		false
unit_abilities_onscreen_name_idrinth_lore_thalui_deadly_intend_upgraded	Büyük Ölümcül Niyet	false
unit_abilities_tooltip_text_idrinth_lore_thalui_deadly_intend_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_vengeance	İntikam Yemini	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_vengeance		false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_vengeance_upgraded	Büyük İntikam Yemini	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_vengeance_upgraded		false
unit_abilities_onscreen_name_idrinth_hev_high_elf_vampires_anti_chaos	Yıkım Güçlerinin Düşmanı	false
unit_abilities_tooltip_text_idrinth_hev_high_elf_vampires_anti_chaos	Yıkım güçlerinin sayısız düşmanına karşı özel olarak eğitilmiş bu savaşçılar, onlarla savaşmakta olağanüstüdür.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_idrinth	Elf zarafeti ve vampirik güçle savrulan kılıçlar, elf isabetliliği ve vampirik güçle atılan oklar. Bu yaratıklar çoğu kalbe korku salar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan	Bu umutsuz sürgünler, maceracılar ve paralı askerler Asuryan'ın türbesini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous	Bu umutsuz sürgünler, maceracılar ve paralı askerler Kurnous'un türbesini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine	Bu umutsuz sürgünler, maceracılar ve paralı askerler Khaine'in türbesini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_mixed	Bu umutsuz sürgünler, maceracılar ve paralı askerler tanrılarının şapelini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Bu eski sürgünler, maceracılar ve paralı askerler Asuryan'ın türbesini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Bu eski sürgünler, maceracılar ve paralı askerler Kurnous'un türbesini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Bu eski sürgünler, maceracılar ve paralı askerler Khaine'in türbesini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_shrine	Asuryan, Kurnous ve Khaine'e adanmış bu derme çatma, canlandırılmış türbe savunucuları korur ve direnişte güçlü durmalarına yardımcı olur.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Bu taştan yapılmış canavarlar elf sanatçılığını yıkıcı büyülerle birleştirerek Thalui Şapellerinin en iyi şok birliklerinden biri haline gelir.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_outriders	Bu gururlu erkekler ve kadınlar yolları ve kanatları güvence altına almak için ileriye sürer, hayatta kalma şanslarını artırmak için iksirler kullanırlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Bu eski sürgünler, maceracılar ve paralı askerler vampirizmine rağmen Asuryan'ın türbesini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Bu eski sürgünler, maceracılar ve paralı askerler vampirizmine rağmen Kurnous'un türbesini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Bu eski sürgünler, maceracılar ve paralı askerler vampirizmine rağmen Khaine'in türbesini korurlar.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Bu başarısız vampirler eskiden Khaine'in rahipleriydi.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Bu başarısız vampirler eskiden Kurnous'un rahipleriydi.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Bu başarısız vampirler eskiden Asuryan'ın rahipleriydi.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_idrinth	Elf zarafeti ve vampirik güçle savrulan kılıçlar, elf isabetliliği ve vampirik güçle atılan oklar. Bu yaratıklar çoğu kalbe korku salar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan	Bu umutsuz sürgünler, maceracılar ve paralı askerler Asuryan'ın türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous	Bu umutsuz sürgünler, maceracılar ve paralı askerler Kurnous'un türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine	Bu umutsuz sürgünler, maceracılar ve paralı askerler Khaine'in türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_mixed	Bu umutsuz sürgünler, maceracılar ve paralı askerler tanrılarının şapelini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Bu eski sürgünler, maceracılar ve paralı askerler Asuryan'ın türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Bu eski sürgünler, maceracılar ve paralı askerler Kurnous'un türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Bu eski sürgünler, maceracılar ve paralı askerler Khaine'in türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_shrine	Asuryan, Kurnous ve Khaine'e adanmış bu derme çatma, canlandırılmış türbe savunucuları korur ve direnişte güçlü durmalarına yardımcı olur.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Bu taştan yapılmış canavarlar elf sanatçılığını yıkıcı büyülerle birleştirerek Thalui Şapellerinin en iyi şok birliklerinden biri haline gelir.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_outriders	Bu gururlu erkekler ve kadınlar yolları ve kanatları güvence altına almak için ileriye sürer, hayatta kalma şanslarını artırmak için iksirler kullanırlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Bu eski sürgünler, maceracılar ve paralı askerler vampirizmine rağmen Asuryan'ın türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Bu eski sürgünler, maceracılar ve paralı askerler vampirizmine rağmen Kurnous'un türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Bu eski sürgünler, maceracılar ve paralı askerler vampirizmine rağmen Khaine'in türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Bu başarısız vampirler eskiden Khaine'in rahipleriydi.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Bu başarısız vampirler eskiden Kurnous'un rahipleriydi.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Bu başarısız vampirler eskiden Asuryan'ın rahipleriydi.	false
upgrade_tooltips_idrinth_unit_asuryan	Karma Elf Muhafızını Asuryan'ın Muhafızına 300 + 50 * Rütbe Altın karşılığında yükselt ve Rütbe² Lütuf kazan	false
upgrade_tooltips_idrinth_priest_asuryan	Bu rahibi 1000 Altın ve 250 Lütuf karşılığında vampire dönüştürmeyi dene. Bu başarısız olabilir ve en kötü durumda onları öldürebilir.	false
upgrade_tooltips_idrinth_unit_khaine	Karma Elf Muhafızını Khaine'in Muhafızına 300 + 50 * Rütbe Altın karşılığında yükselt ve Rütbe² Lütuf kazan.	false
upgrade_tooltips_idrinth_priest_khaine	Bu rahibi 1000 Altın ve 250 Lütuf karşılığında vampire dönüştürmeyi dene. Bu başarısız olabilir ve en kötü durumda onları öldürebilir.	false
upgrade_tooltips_idrinth_unit_kurnous	Karma Elf Muhafızını Kurnous Muhafızına 300 + 50 * Rütbe Altın karşılığında yükselt ve Rütbe² Lütuf kazan	false
upgrade_tooltips_idrinth_priest_kurnous	Bu rahibi 1000 Altın ve 250 Lütuf karşılığında vampire dönüştürmeyi dene. Bu başarısız olabilir ve en kötü durumda onları öldürebilir.	false
upgrade_tooltips_idrinth_animal_kurnous_eagle	Büyük kartalı 125 altın ve 70 lütuf karşılığında Kurnous'un adına kutsa.	false
upgrade_tooltips_idrinth_animal_khaine_eagle	Büyük kartalı 125 altın ve 70 lütuf karşılığında Khaine'in adına kutsa.	false
upgrade_tooltips_idrinth_animal_asuryan_eagle	Büyük kartalı 125 altın ve 70 lütuf karşılığında Asuryan'ın adına kutsa.	false
upgrade_tooltips_idrinth_animal_kurnous_hawks	Şahinleri 100 altın ve 40 lütuf karşılığında Kurnous'un adına kutsa.	false
upgrade_tooltips_idrinth_animal_khaine_hawks	Şahinleri 100 altın ve 40 lütuf karşılığında Khaine'in adına kutsa.	false
upgrade_tooltips_idrinth_animal_asuryan_hawks	Şahinleri 100 altın ve 40 lütuf karşılığında Asuryan'ın adına kutsa.	false
upgrade_tooltips_idrinth_animal_kurnous_bats	Yarasaları 50 altın ve 20 lütuf karşılığında Kurnous'un adına kutsa.	false
upgrade_tooltips_idrinth_animal_khaine_bats	Yarasaları 50 altın ve 20 lütuf karşılığında Khaine'in adına kutsa.	false
upgrade_tooltips_idrinth_animal_asuryan_bats	Yarasaları 50 altın ve 20 lütuf karşılığında Asuryan'ın adına kutsa.	false
upgrade_tooltips_idrinth_animal_kurnous_wolves	Kurtları 75 altın ve 30 lütuf karşılığında Kurnous'un adına kutsa.	false
upgrade_tooltips_idrinth_animal_khaine_wolves	Kurtları 75 altın ve 30 lütuf karşılığında Khaine'in adına kutsa.	false
upgrade_tooltips_idrinth_animal_asuryan_wolves	Kurtları 75 altın ve 30 lütuf karşılığında Asuryan'ın adına kutsa.	false
upgrade_tooltips_idrinth_size_outriders	Şapel Öncülerinin sayısını 250 altın karşılığında 5 artır. Rütbeler aktarılır.	false
upgrade_tooltips_idrinth_size_kurnous	Kurnous'un Muhafızının sayısını 300 altın karşılığında 15 artır. Rütbeler ve Kıdemli statüsü aktarılır.	false
upgrade_tooltips_idrinth_size_khaine	Khaine'in Muhafızının sayısını 300 altın karşılığında 15 artır. Rütbeler ve Kıdemli statüsü aktarılır.	false
upgrade_tooltips_idrinth_size_asuryan	Asuryan'ın Muhafızının sayısını 300 altın karşılığında 15 artır. Rütbeler ve Kıdemli statüsü aktarılır.	false
mct_patch_notes_idrinth_129_notes	- yukseltmeler icin hazine maliyetlerinin para almak yerine para vermesi duzeltildi	false
mct_patch_notes_idrinth_129_version	v1.6.4	false
mct_patch_notes_idrinth_128_notes	- daha iyi kararlilik icin kod yeniden yazildi\\n- mod yapilandirma aracinda daha fazla secenek\\n- bircok kucuk duzeltme	false
mct_patch_notes_idrinth_128_version	v1.6.3	false
mct_patch_notes_idrinth_127_notes	- gecikmeli fonksiyon cagrisi icin performans iyilestirmeleri	false
mct_patch_notes_idrinth_127_version	v1.6.2	false
mct_patch_notes_idrinth_126_notes	- nowAndThen cok sik tetiklenerek cokmelere yol acmasi duzeltildi	false
mct_patch_notes_idrinth_126_version	v1.6.1	false
mct_patch_notes_idrinth_125_notes	- birim boyutu yukseltmeleri\\n- canavar yukseltme yenilemesi	false
mct_patch_notes_idrinth_125_version	v1.6.0	false
mct_patch_notes_idrinth_124_notes	- ozellik kaldirma olay spami onlendi	false
mct_patch_notes_idrinth_124_version	v1.5.2	false
mct_patch_notes_idrinth_123_notes	- simsek saldirisi korumasina duzeltme	false
mct_patch_notes_idrinth_123_version	v1.5.1	false
mct_patch_notes_idrinth_122_notes	- elf birimleri icin birim yukseltmeleri eklendi	false
mct_patch_notes_idrinth_122_version	v1.5.0	false
mct_patch_notes_idrinth_121_notes	- kod temizlikleri	false
mct_patch_notes_idrinth_121_version	v1.4.6	false
mct_patch_notes_idrinth_120_notes	- korsan kiyisi "hukumet pozisyonuna" atandiginda isim kaybi duzeltildi	false
mct_patch_notes_idrinth_120_version	v1.4.5	false
mct_patch_notes_idrinth_119_notes	- savas kaynaklarina duzeltmeler\\n- kod optimizasyonlari	false
mct_patch_notes_idrinth_119_version	v1.4.4	false
mct_patch_notes_idrinth_118_notes	- butona tiklandiktan sonra birim yukseltme panelinin gosterilmedigi durum duzeltildi	false
mct_patch_notes_idrinth_118_version	v1.4.3	false
mct_patch_notes_idrinth_117_notes	- butona tiklandiktan sonra birim yukseltme panelinin gosterilmedigi durum duzeltildi	false
mct_patch_notes_idrinth_117_version	v1.4.2	false
mct_patch_notes_idrinth_116_notes	- birim kullanimi icin ipuclari eklendi	false
mct_patch_notes_idrinth_116_version	v1.4.1	false
mct_patch_notes_idrinth_115_notes	- waaagh hayvanlari icin birim kutsamalarinin calismasi saglandi\\n- ordu binalari yeniden dengelendi	false
mct_patch_notes_idrinth_115_version	v1.4.0	false
mct_patch_notes_idrinth_114_notes	- gerekli her seyi kapsamayan birim seti icin duzeltmeler	false
mct_patch_notes_idrinth_114_version	v1.3.5	false
mct_patch_notes_idrinth_113_notes	- gerekli her seyi kapsamayan birim seti icin duzeltmeler	false
mct_patch_notes_idrinth_113_version	v1.3.4	false
mct_patch_notes_idrinth_112_notes	- gerekli her seyi kapsamayan birim seti icin duzeltmeler	false
mct_patch_notes_idrinth_112_version	v1.3.3	false
mct_patch_notes_idrinth_111_notes	- karakter inisiyatiflerinin tespiti duzeltildi	false
mct_patch_notes_idrinth_111_version	v1.3.2	false
mct_patch_notes_idrinth_110_notes	- cokme nedeni duzeltildi	false
mct_patch_notes_idrinth_110_version	v1.3.1	false
mct_patch_notes_idrinth_109_notes	- performans icin buyuk yeniden yazim	false
mct_patch_notes_idrinth_109_version	v1.3.0	false
mct_patch_notes_idrinth_108_notes	- surum numarasi duzeltildi	false
mct_patch_notes_idrinth_108_version	v1.2.2	false
mct_patch_notes_idrinth_107_notes	- anti-ozellik isleme duzeltildi	false
mct_patch_notes_idrinth_107_version	v1.2.1	false
mct_patch_notes_idrinth_106_notes	- sapeller mevcut oldugunda yerlesim uzerinde ikon\\n- cok sayida kod temizligi\\n- tanri kiskancligiyla adanmislik sistemi iyilestirmeleri	false
mct_patch_notes_idrinth_106_version	v1.2.0	false
mct_patch_notes_idrinth_105_notes	- arayuzde kaynaklarin yanlis yerlestirilmesi duzeltildi	false
mct_patch_notes_idrinth_105_version	v1.1.18	false
mct_patch_notes_idrinth_104_notes	- bir baska yerlesim arayuzu duzeltmesi	false
mct_patch_notes_idrinth_104_version	v1.1.17	false
mct_patch_notes_idrinth_103_notes	- yerlesim gorunumunde buton isleme duzeltildi	false
mct_patch_notes_idrinth_103_version	v1.1.16	false
mct_patch_notes_idrinth_102_notes	- birden fazla set kazanilmasini onlemek icin esya durumu kaydetme/yuklemesi duzeltildi	false
mct_patch_notes_idrinth_102_version	v1.1.15	false
mct_patch_notes_idrinth_101_notes	- benzersiz esyalarin otomatik donanimasi duzeltildi	false
mct_patch_notes_idrinth_101_version	v1.1.14	false
mct_patch_notes_idrinth_100_notes	- ise alim sirasinda uygun lord ve ofis unvanlari gosteriliyor\\n- cift olusturma onlendi (umariz)	false
mct_patch_notes_idrinth_100_version	v1.1.13	false
mct_patch_notes_idrinth_99_notes	- yanlis hizip(ler) icin ikilemlerin tetiklendigi iki durum duzeltildi	false
mct_patch_notes_idrinth_99_version	v1.1.12	false
mct_patch_notes_idrinth_98_notes	- esya verme konusunda bir sey daha duzeltildi	false
mct_patch_notes_idrinth_98_version	v1.1.11	false
mct_patch_notes_idrinth_97_notes	- ise alim script duzeltmeleri\\n- arayuz duzeltmeleri\\n- esya script duzeltmeleri	false
mct_patch_notes_idrinth_97_version	v1.1.10	false
mct_patch_notes_idrinth_96_notes	- esya verme kodu duzeltildi	false
mct_patch_notes_idrinth_96_version	v1.1.9	false
mct_patch_notes_idrinth_95_notes	- bazi temizlik gorevleri	false
mct_patch_notes_idrinth_95_version	v1.1.8	false
mct_patch_notes_idrinth_94_notes	- cok oyuncuda yanlis oyuncu icin ayarlarin gosterilmesi duzeltildi	false
mct_patch_notes_idrinth_94_version	v1.1.7	false
mct_patch_notes_idrinth_93_notes	- surum numarasi duzeltildi	false
mct_patch_notes_idrinth_93_version	v1.1.6	false
mct_patch_notes_idrinth_92_notes	- NPC hiziplerinin konum ve hikaye olaylari almasi onlendi	false
mct_patch_notes_idrinth_92_version	v1.1.5	false
mct_patch_notes_idrinth_91_notes	- esya kazanma duzeltmeleri	false
mct_patch_notes_idrinth_91_version	v1.1.4	false
mct_patch_notes_idrinth_90_notes	- arayuz duzeltmeleri	false
mct_patch_notes_idrinth_90_version	v1.1.3	false
mct_patch_notes_idrinth_89_notes	- surum numarasi artisi	false
mct_patch_notes_idrinth_89_version	v1.1.2	false
mct_patch_notes_idrinth_88_notes	- kucuk script duzeltmeleri	false
mct_patch_notes_idrinth_88_version	v1.1.1	false
mct_patch_notes_idrinth_87_notes	- yeniden duzenleme\\n- adanmislik acildi\\n- generale buyuk iyilestirmeler\\n- generale hayvan waaagh mekanigi eklendi	false
mct_patch_notes_idrinth_87_version	v1.1.0	false
mct_patch_notes_idrinth_86_notes	- gorev kilidi acma spami muhtemelen duzeltildi\\n- atlicilar icin artik garip hayvanlar yok\\n- metin netligi icin kucuk ayarlamalar	false
mct_patch_notes_idrinth_86_version	v1.0.15	false
mct_patch_notes_idrinth_85_notes	- lord surumundeki eksik yipranma bagisikliklari duzeltildi	false
mct_patch_notes_idrinth_85_version	v1.0.14	false
mct_patch_notes_idrinth_84_notes	- tur sirasinda arayuzde lutuf kaynaklarinin guncellenmemesi duzeltildi	false
mct_patch_notes_idrinth_84_version	v1.0.13	false
mct_patch_notes_idrinth_83_notes	- kamp kurma artik hareket puani harcamiyor	false
mct_patch_notes_idrinth_83_version	v1.0.12	false
mct_patch_notes_idrinth_82_notes	- hikaye olayi acma/kapamanin birden fazla tetiklenmesi duzeltildi	false
mct_patch_notes_idrinth_82_version	v1.0.11	false
mct_patch_notes_idrinth_81_notes	- eksik birim tipi siniflandirmalari eklendi	false
mct_patch_notes_idrinth_81_version	v1.0.10	false
mct_patch_notes_idrinth_80_notes	- elf katili ozelliklerine unutulmus pozitif etkiler eklendi\\n- modellerin dosya basina en fazla 5 varyant kullanmasi saglandi	false
mct_patch_notes_idrinth_80_version	v1.0.9	false
mct_patch_notes_idrinth_79_notes	- savas takibi duzeltildi\\n- rahiplerin ve Idrinth'in menzilli silah hasari duzeltildi	false
mct_patch_notes_idrinth_79_version	v1.0.8	false
mct_patch_notes_idrinth_78_notes	- kaynak uretim hatasi duzeltildi\\n- general beceri hattina unutulmus beceri eklendi	false
mct_patch_notes_idrinth_78_version	v1.0.7	false
mct_patch_notes_idrinth_77_notes	- elf katili ozellikleri icin yerellelestirme duzeltildi	false
mct_patch_notes_idrinth_77_version	v1.0.6	false
mct_patch_notes_idrinth_76_notes	- taverna sapel bina zincirine duzeltmeler	false
mct_patch_notes_idrinth_76_version	v1.0.5	false
mct_patch_notes_idrinth_75_notes	- Imrik, Morathi, Sartosa icin birim ise alimi duzeltildi	false
mct_patch_notes_idrinth_75_version	v1.0.4	false
mct_patch_notes_idrinth_74_notes	- Drycha icin ise alim duzeltildi	false
mct_patch_notes_idrinth_74_version	v1.0.3	false
mct_patch_notes_idrinth_73_notes	- ordu buyume kapsami duzeltildi	false
mct_patch_notes_idrinth_73_version	v1.0.2	false
mct_patch_notes_idrinth_72_notes	- yanlis kapsam nedeniyle 0 ise alim limiti duzeltildi	false
mct_patch_notes_idrinth_72_version	v1.0.1	false
mct_patch_notes_idrinth_71_notes	- ordu modu lord secenegi\\n- uc yeni yabanci yuva binasi\\n- buyuk yeniden dengeleme\\n- yeni birim (atli keifler)\\n- beceri kapsamlarina hata duzeltmeleri	false
mct_patch_notes_idrinth_71_version	v1.0.0	false
mct_patch_notes_idrinth_70_notes	- genisletilmis kulturler icin eksik gorev basliklari ve aciklamalari duzeltildi	false
mct_patch_notes_idrinth_70_version	v0.19.3	false
mct_patch_notes_idrinth_69_notes	- esya verme spami onlendi	false
mct_patch_notes_idrinth_69_version	v0.19.2	false
mct_patch_notes_idrinth_68_notes	- esya kontrolleri icin seviye karsilastirmasi duzeltildi	false
mct_patch_notes_idrinth_68_version	v0.19.1	false
mct_patch_notes_idrinth_67_notes	- Mod Yapilandirma Araci destegi\\n- yeni konum tabanli olaylar\\n- hafif yeniden dengeleme\\n- genisletilmis kultur ise alimiyla daha iyi uygulanmis ise alim	false
mct_patch_notes_idrinth_67_version	v0.19.0	false
mct_patch_notes_idrinth_66_notes	- Idrinth yarali iken olaylarin tetiklenmesi onlendi	false
mct_patch_notes_idrinth_66_version	v0.18.3	false
mct_patch_notes_idrinth_65_notes	- bir suru temizlik	false
mct_patch_notes_idrinth_65_version	v0.18.2	false
mct_patch_notes_idrinth_64_notes	- enerji kaybi azaltmasi artik artirmak yerine azaltiyor\\n- Idrinth'in tipi artik ise alinamiyor (kategorisi hic acilmamis olsa bile)	false
mct_patch_notes_idrinth_64_version	v0.18.1	false
mct_patch_notes_idrinth_63_notes	- sapel yerlesimlerinin genisletilmesi\\n- hizip kadrosunun genisletilmesi	false
mct_patch_notes_idrinth_63_version	v0.18.0	false
mct_patch_notes_idrinth_62_notes	- muhafizlarda eksik buyuklere karsi savunma duzeltildi\\n- birim agirligi hafifce artirildi	false
mct_patch_notes_idrinth_62_version	v0.17.1	false
mct_patch_notes_idrinth_61_notes	- menzilli beceriler eklendi ve ozel savas hizibi daha farkli hale getirildi	false
mct_patch_notes_idrinth_61_version	v0.17.0	false
mct_patch_notes_idrinth_60_notes	- ozel savaslar icin Thalui Sapeli'ne bayrak ve ikon eklendi	false
mct_patch_notes_idrinth_60_version	v0.16.0	false
mct_patch_notes_idrinth_59_notes	- yeni tapinak seviyesi (rahip-kahraman savunuculari)\\n- kilit acmalar icin seviye olcekleme secenegi (sv. 5, sv. 6, sv. 8, sv. 11)\\n- tapinaklara bazi duzeltmeler\\n- ikilemlerde yazim hatasi duzeltmeleri\\n- capisma icin ayri hizip	false
mct_patch_notes_idrinth_59_version	v0.15.0	false
mct_patch_notes_idrinth_58_notes	- temel maliyet 550'den 400'e dusuruldu	false
mct_patch_notes_idrinth_58_version	v0.14.4	false
mct_patch_notes_idrinth_57_notes	- lutuf kaynak maliyetlerinin duzgun uygulanmamasi duzeltildi	false
mct_patch_notes_idrinth_57_version	v0.14.3	false
mct_patch_notes_idrinth_56_notes	- elf sapelleri icin gozden kacirilan diplomasi modifikatorleri duzeltildi	false
mct_patch_notes_idrinth_56_version	v0.14.2	false
mct_patch_notes_idrinth_55_notes	- elf sapel zinciri icin yazim hatalari ve duzeltmeler	false
mct_patch_notes_idrinth_55_version	v0.14.1	false
mct_patch_notes_idrinth_54_notes	- Idrinth tarafindan kurulan elf sapelleri eklendi, temel surum, devami gelecek	false
mct_patch_notes_idrinth_54_version	v0.14.0	false
mct_patch_notes_idrinth_53_notes	- yavas oyuncular icin gorevlerin cift tetiklenmesi umarim onlendi	false
mct_patch_notes_idrinth_53_version	v0.13.4	false
mct_patch_notes_idrinth_52_notes	- otomatik cozum degerleri ayarlandi	false
mct_patch_notes_idrinth_52_version	v0.13.3	false
mct_patch_notes_idrinth_51_notes	- kaynak kazanimina ve rastgele tanri kutsamalarina duzeltmeler	false
mct_patch_notes_idrinth_51_version	v0.13.2	false
mct_patch_notes_idrinth_50_notes	- birkac yazim hatasi duzeltildi, cogunlukla buyuk/kucuk harf	false
mct_patch_notes_idrinth_50_version	v0.13.1	false
mct_patch_notes_idrinth_49_notes	- tum ana kulturler icin kulture ozel kilit acma ikilem metinleri eklendi	false
mct_patch_notes_idrinth_49_version	v0.13.0	false
mct_patch_notes_idrinth_48_notes	- yeniden yukleme nedeniyle mod sorusunun birden fazla gorunmesi duzeltildi	false
mct_patch_notes_idrinth_48_version	v0.12.2	false
mct_patch_notes_idrinth_47_notes	- yedek gorsellerin gosterildigi durumlar duzeltildi	false
mct_patch_notes_idrinth_47_version	v0.12.1	false
mct_patch_notes_idrinth_46_notes	- dualar ve adanmislik icin mantik geri yuklendi	false
mct_patch_notes_idrinth_46_version	v0.12.0	false
mct_patch_notes_idrinth_45_notes	- hafif temizlikler	false
mct_patch_notes_idrinth_45_version	v0.11.2	false
mct_patch_notes_idrinth_44_notes	- simdilik catisan twui dosyasi kaldirildi	false
mct_patch_notes_idrinth_44_version	v0.11.1	false
mct_patch_notes_idrinth_43_notes	- tanri lutfu icin kaynak cubugu uzerine yazma bagimliligi kaldirildi\\n- Nagash hizibi icin teorik destek	false
mct_patch_notes_idrinth_43_version	v0.11.0	false
mct_patch_notes_idrinth_42_notes	- mesh dokulari daha vampirsi olmasi ve guzel pembe cilt gostermemesi icin duzeltildi	false
mct_patch_notes_idrinth_42_version	v0.10.6	false
mct_patch_notes_idrinth_41_notes	- birim karti gorseli ayarlandi	false
mct_patch_notes_idrinth_41_version	v0.10.5	false
mct_patch_notes_idrinth_40_notes	- yuklemeden sonra ise alim gorevinin yeniden tetiklenmesi onlendi	false
mct_patch_notes_idrinth_40_version	v0.10.4	false
mct_patch_notes_idrinth_39_notes	- temel scriptleri uzerine yazma bagimliligi kaldirildi	false
mct_patch_notes_idrinth_39_version	v0.10.3	false
mct_patch_notes_idrinth_38_notes	- Khaine set bonuslarinin yanlis seylere baglanmasi duzeltildi	false
mct_patch_notes_idrinth_38_version	v0.10.2	false
mct_patch_notes_idrinth_37_notes	- birim adlarindaki yazim hatasi duzeltildi	false
mct_patch_notes_idrinth_37_version	v0.10.1	false
mct_patch_notes_idrinth_36_notes	- yuksek elf ve vampir kontu ikilem odulleri eklendi	false
mct_patch_notes_idrinth_36_version	v0.10.0	false
mct_patch_notes_idrinth_35_notes	- orman elfi ikilem odulleri eklendi	false
